Epoch 0. Train Loss: 2.050746, Train Acc: 0.191876, Valid Loss: 1.833743, Valid Acc: 0.252472, Time 00:01:03
Epoch 1. Train Loss: 1.689773, Train Acc: 0.339894, Valid Loss: 1.813073, Valid Acc: 0.351068, Time 00:01:06
Epoch 2. Train Loss: 1.494626, Train Acc: 0.445632, Valid Loss: 1.389983, Valid Acc: 0.502769, Time 00:01:06
Epoch 3. Train Loss: 1.295713, Train Acc: 0.546475, Valid Loss: 1.257366, Valid Acc: 0.567544, Time 00:01:06
Epoch 4. Train Loss: 1.205045, Train Acc: 0.589394, Valid Loss: 1.381505, Valid Acc: 0.524525, Time 00:01:06
Epoch 5. Train Loss: 1.131030, Train Acc: 0.624920, Valid Loss: 1.997354, Valid Acc: 0.440566, Time 00:01:06
Epoch 6. Train Loss: 1.070882, Train Acc: 0.650855, Valid Loss: 1.170028, Valid Acc: 0.615407, Time 00:01:06
Epoch 7. Train Loss: 1.037065, Train Acc: 0.665641, Valid Loss: 1.093840, Valid Acc: 0.623517, Time 00:01:06
Epoch 8. Train Loss: 0.994764, Train Acc: 0.684343, Valid Loss: 1.177741, Valid Acc: 0.636274, Time 00:01:06
Epoch 9. Train Loss: 0.974533, Train Acc: 0.692835, Valid Loss: 0.916156, Valid Acc: 0.713509, Time 00:01:06
Epoch 10. Train Loss: 0.957191, Train Acc: 0.702526, Valid Loss: 1.696290, Valid Acc: 0.535403, Time 00:01:06
Epoch 11. Train Loss: 0.932651, Train Acc: 0.711197, Valid Loss: 1.227510, Valid Acc: 0.660206, Time 00:01:06
Epoch 12. Train Loss: 0.926495, Train Acc: 0.717531, Valid Loss: 1.238093, Valid Acc: 0.620550, Time 00:01:06
Epoch 13. Train Loss: 0.912095, Train Acc: 0.721387, Valid Loss: 1.225451, Valid Acc: 0.652294, Time 00:01:06
Epoch 14. Train Loss: 0.896092, Train Acc: 0.725244, Valid Loss: 0.925026, Valid Acc: 0.725969, Time 00:01:06
Epoch 15. Train Loss: 0.890030, Train Acc: 0.727022, Valid Loss: 1.289444, Valid Acc: 0.597211, Time 00:01:06
Epoch 16. Train Loss: 0.886060, Train Acc: 0.727701, Valid Loss: 0.950351, Valid Acc: 0.700850, Time 00:01:06
Epoch 17. Train Loss: 0.871354, Train Acc: 0.734675, Valid Loss: 0.873140, Valid Acc: 0.720926, Time 00:01:06
Epoch 18. Train Loss: 0.882091, Train Acc: 0.730439, Valid Loss: 1.131322, Valid Acc: 0.631032, Time 00:01:06
Epoch 19. Train Loss: 0.861927, Train Acc: 0.738411, Valid Loss: 0.856185, Valid Acc: 0.715882, Time 00:01:06
Epoch 20. Train Loss: 0.849649, Train Acc: 0.741868, Valid Loss: 0.932283, Valid Acc: 0.711828, Time 00:01:06
Epoch 21. Train Loss: 0.852000, Train Acc: 0.739210, Valid Loss: 1.074432, Valid Acc: 0.682160, Time 00:01:06
Epoch 22. Train Loss: 0.856789, Train Acc: 0.738131, Valid Loss: 0.856288, Valid Acc: 0.727848, Time 00:01:06
Epoch 23. Train Loss: 0.849339, Train Acc: 0.740749, Valid Loss: 0.929846, Valid Acc: 0.706290, Time 00:01:06
Epoch 24. Train Loss: 0.847449, Train Acc: 0.741089, Valid Loss: 1.354937, Valid Acc: 0.629055, Time 00:01:06
Epoch 25. Train Loss: 0.847958, Train Acc: 0.740729, Valid Loss: 1.090117, Valid Acc: 0.693928, Time 00:01:06
Epoch 26. Train Loss: 0.841531, Train Acc: 0.745624, Valid Loss: 1.026864, Valid Acc: 0.715091, Time 00:01:06
Epoch 27. Train Loss: 0.851858, Train Acc: 0.740689, Valid Loss: 1.304646, Valid Acc: 0.623616, Time 00:01:06
Epoch 28. Train Loss: 0.828494, Train Acc: 0.747422, Valid Loss: 0.880611, Valid Acc: 0.716475, Time 00:01:06
Epoch 29. Train Loss: 0.846949, Train Acc: 0.744246, Valid Loss: 0.919881, Valid Acc: 0.721123, Time 00:01:06
Epoch 30. Train Loss: 0.837210, Train Acc: 0.747343, Valid Loss: 1.622166, Valid Acc: 0.579806, Time 00:01:06
Epoch 31. Train Loss: 0.832527, Train Acc: 0.747982, Valid Loss: 0.979985, Valid Acc: 0.708366, Time 00:01:06
Epoch 32. Train Loss: 0.829759, Train Acc: 0.747902, Valid Loss: 1.734426, Valid Acc: 0.538172, Time 00:01:06
Epoch 33. Train Loss: 0.829732, Train Acc: 0.748561, Valid Loss: 1.040169, Valid Acc: 0.678995, Time 00:01:06
Epoch 34. Train Loss: 0.832517, Train Acc: 0.748302, Valid Loss: 1.429201, Valid Acc: 0.588113, Time 00:01:06
Epoch 35. Train Loss: 0.838882, Train Acc: 0.742727, Valid Loss: 1.408427, Valid Acc: 0.589498, Time 00:01:06
Epoch 36. Train Loss: 0.828013, Train Acc: 0.748941, Valid Loss: 0.811102, Valid Acc: 0.742286, Time 00:01:06
Epoch 37. Train Loss: 0.831256, Train Acc: 0.747462, Valid Loss: 0.936802, Valid Acc: 0.697785, Time 00:01:06
Epoch 38. Train Loss: 0.819631, Train Acc: 0.748102, Valid Loss: 0.965069, Valid Acc: 0.696796, Time 00:01:06
Epoch 39. Train Loss: 0.808526, Train Acc: 0.753157, Valid Loss: 0.802657, Valid Acc: 0.741001, Time 00:01:06
Epoch 40. Train Loss: 0.829447, Train Acc: 0.747183, Valid Loss: 1.073427, Valid Acc: 0.662876, Time 00:01:06
Epoch 41. Train Loss: 0.818253, Train Acc: 0.751858, Valid Loss: 0.983652, Valid Acc: 0.692346, Time 00:01:06
Epoch 42. Train Loss: 0.817713, Train Acc: 0.751618, Valid Loss: 1.005399, Valid Acc: 0.701147, Time 00:01:06
Epoch 43. Train Loss: 0.817036, Train Acc: 0.752997, Valid Loss: 0.982904, Valid Acc: 0.696994, Time 00:01:06
Epoch 44. Train Loss: 0.824780, Train Acc: 0.753197, Valid Loss: 1.123234, Valid Acc: 0.636274, Time 00:01:06
Epoch 45. Train Loss: 0.829125, Train Acc: 0.749620, Valid Loss: 1.008985, Valid Acc: 0.695708, Time 00:01:06
Epoch 46. Train Loss: 0.818555, Train Acc: 0.752617, Valid Loss: 0.830700, Valid Acc: 0.737441, Time 00:01:06
Epoch 47. Train Loss: 0.818924, Train Acc: 0.753816, Valid Loss: 0.901375, Valid Acc: 0.723299, Time 00:01:06
Epoch 48. Train Loss: 0.821403, Train Acc: 0.751918, Valid Loss: 0.923711, Valid Acc: 0.713904, Time 00:01:06
Epoch 49. Train Loss: 0.837103, Train Acc: 0.745285, Valid Loss: 1.176121, Valid Acc: 0.638054, Time 00:01:06
Epoch 50. Train Loss: 0.815189, Train Acc: 0.753457, Valid Loss: 0.972328, Valid Acc: 0.698279, Time 00:01:06
Epoch 51. Train Loss: 0.817429, Train Acc: 0.753237, Valid Loss: 1.339152, Valid Acc: 0.619660, Time 00:01:06
Epoch 52. Train Loss: 0.815393, Train Acc: 0.754296, Valid Loss: 0.947443, Valid Acc: 0.710146, Time 00:01:06
Epoch 53. Train Loss: 0.808928, Train Acc: 0.756294, Valid Loss: 1.225387, Valid Acc: 0.658722, Time 00:01:06
Epoch 54. Train Loss: 0.814154, Train Acc: 0.754056, Valid Loss: 1.089859, Valid Acc: 0.667722, Time 00:01:06
Epoch 55. Train Loss: 0.809543, Train Acc: 0.754795, Valid Loss: 0.868546, Valid Acc: 0.749110, Time 00:01:06
Epoch 56. Train Loss: 0.818698, Train Acc: 0.751798, Valid Loss: 0.956053, Valid Acc: 0.711333, Time 00:01:06
Epoch 57. Train Loss: 0.807558, Train Acc: 0.757393, Valid Loss: 0.953430, Valid Acc: 0.722607, Time 00:01:06
Epoch 58. Train Loss: 0.805783, Train Acc: 0.756314, Valid Loss: 0.949760, Valid Acc: 0.705103, Time 00:01:06
Epoch 59. Train Loss: 0.822583, Train Acc: 0.751239, Valid Loss: 1.177477, Valid Acc: 0.656646, Time 00:01:06
Epoch 60. Train Loss: 0.820659, Train Acc: 0.752657, Valid Loss: 0.939158, Valid Acc: 0.703521, Time 00:01:06
Epoch 61. Train Loss: 0.824357, Train Acc: 0.752538, Valid Loss: 0.970610, Valid Acc: 0.684731, Time 00:01:06
Epoch 62. Train Loss: 0.807403, Train Acc: 0.754995, Valid Loss: 1.064788, Valid Acc: 0.691950, Time 00:01:06
Epoch 63. Train Loss: 0.814658, Train Acc: 0.754056, Valid Loss: 1.023491, Valid Acc: 0.686709, Time 00:01:06
Epoch 64. Train Loss: 0.830152, Train Acc: 0.751119, Valid Loss: 0.837303, Valid Acc: 0.739221, Time 00:01:06
Epoch 65. Train Loss: 0.799359, Train Acc: 0.761669, Valid Loss: 1.262875, Valid Acc: 0.647251, Time 00:01:06
Epoch 66. Train Loss: 0.808760, Train Acc: 0.757093, Valid Loss: 1.020173, Valid Acc: 0.692445, Time 00:01:06
Epoch 67. Train Loss: 0.804764, Train Acc: 0.758632, Valid Loss: 1.054417, Valid Acc: 0.683841, Time 00:01:06
Epoch 68. Train Loss: 0.805138, Train Acc: 0.756773, Valid Loss: 0.906087, Valid Acc: 0.728738, Time 00:01:06
Epoch 69. Train Loss: 0.813838, Train Acc: 0.754875, Valid Loss: 0.897176, Valid Acc: 0.723200, Time 00:01:06
Epoch 70. Train Loss: 0.799800, Train Acc: 0.758852, Valid Loss: 0.828126, Valid Acc: 0.735562, Time 00:01:06
Epoch 71. Train Loss: 0.818290, Train Acc: 0.751978, Valid Loss: 0.917462, Valid Acc: 0.719047, Time 00:01:06
Epoch 72. Train Loss: 0.811803, Train Acc: 0.755774, Valid Loss: 0.975412, Valid Acc: 0.704806, Time 00:01:07
